,Title,Rating,Employee_Status,Pros,Cons,Date_Posted,Employee_Title,Location,
16,"If Carlsberg did bad places to work, they probably wouldn't be as bad as here",1,"Current Employee, more than 1 year","Very little really, many were sold a vision that never actually had c-level commitment behind it. Then people were told that this was never what was said in the first place. There is no forward-thinking going on (at least within the Dublin office). If anyone tries to do something new massive resistance is put in their way and in some cases they are just 'removed' to stop their efforts. They got a large number of very talented people to leave good jobs based on both a large salary jump and a promise of interesting and challenging work, for many the sweet taste of the increased paycheck has well soured since very little of the work they were hired to do ever got a budget or support to proceed. So Pros: You might get a salary bump, but you'll regret it nearly instantly. The location is very good. The building is great if you want to 'look' like you work in a modern company.","Where to start. Basics: No parking, no stock for normal employees, exceptionally poor leadership, nearly everything is out-sourced. For Dublin in particular, pretending to be Corporate HQ is a joke, as a site it is so removed from the actual activities of the wider company it may as well be a call center. No culture, in fact, the employees recently got the blame for a bad culture score, the remedy? Hold an all-hands where we were told ""Go make a better culture"", this must be the only improvement program they haven't out-sourced, which goes to show how much they care about that. Relocated numerous staff members from various countries only to now make a sizable number of them redundant, very classy move. Hire numerous talented IT professionals than not support them either by connecting them with the wider company or budgeting for the work they were hired to do. Sack people who rocked the apple cart and actually started to make a difference across many functions IT, SCM and Finance.",09-Nov-19, IT in Dublin, Dublin,
17,Stay clear of this company,1,Former Employee,"Some good people, all struggling to survive such a toxic environment","Toxic culture primarily due to leadership team. Employees are not valued. No recognition, appreciation or support. All are disposable widgets to be used and then discarded.",31-Dec-19, Anonymous Employee ,,
18,"Going about as well as Brexit really, isnt't it?",1,Current Employee,"shiny new office (fancy fingerprint sign-in doesnt always work) , handy to DART. that's about it really....","let's face it, it's going about as well as Brexit. Weak , inexperienced US managment on their first international assignment are out of their depth and struggling. Supply chain , finance and tax are complete losses- just stay clear of them .......",31-Jul-19, Supply Chain Manager in Dublin, Dublin,
19,"Cutting edge on Automotive Technology, Better Than Average Benefits and Pay",4,"Current Employee, more than 1 year",The environment is changing to become more a of software development company and focus on next generation automotive solutions for the brain and nervous system of the automobile. Great people to work with.,"Very demanding management teams to get more done in an environment with constant change, turnover, and knowledge gaps.",06-May-19, IT Business Relationship Manager in Dublin, Dublin,
20,Rebranded as a tech company but really a Dinosaur. Stay away.,1,"Former Employee, less than 1 year","Good salaries, Nice office location in Grand Canal Dock","Too much red tape, Slow decision making, Very Hierarchical. Weak senior staff",21-Sep-19, IT Consultant in Dublin, Dublin,
21,APTIV Ireland,5,"Current Employee, more than 1 year",Great Culture Generous Package Good Working Environment Lots of OpportunitiesAPTIV,Pace can be hectic at times Priorities can shift quickly with little warning,21-Jun-19, IT Director in Dublin, Dublin,
22,good so far,4,"Current Employee, more than 1 year",Interesting growing company lots of opportunities,"very complex ,jobs very specialised",07-Apr-19, IT Architect in Dublin, Dublin,
23,not for everyone,2,"Current Employee, less than 1 year","Remuneration for some levels, could get a decent manager. Interesting work and loads of responsibility.","Remuneration often not worth it, no matter how much. Finance and tax function is mad. Senior management can be counter productive and drive away people or minimises motivation. Unrealistic expectations and approach from certain leaders creates uncomfortable workplace.",13-Dec-18, Anonymous Employee in Dublin, Dublin,
24,Finance,1,"Former Employee, less than 1 year","Good Salary, Nice Offices, Work Interesting, and varied, opportunities to travel depending on area of business you are in, some of the people are inclusive","HR unsophisticated not strategic, staff are a number treated badly, staff under huge pressure to deliver to unrealistic deadlines, Dublin corp office hiring and firing within 11 month probation period pulling people out of secure jobs then dumping them callously, no management structures in place, a lot of shouting, staff distressed within months of being there, American managers think they are in US not Ireland using US practices a lawsuit waiting to happen",02-Nov-18, Anonymous Employee in Dublin, Dublin,
25,Mistake,2,Current Employee,"Looks decent externally, pretend to be part of the future.","Not a technology company. Sterile office environment. Unreasonable expectations. Rough, micro-managing senior leadership, especially within Finance. Monolithic culture that does not seem to embrace differences. People are angry and disengaged. Lots of screamers. Work for the sake of work, which creates constant swirl.",09-Oct-18, Anonymous Employee in Dublin, Dublin,
26,FLDP,5,Current Employee,Great exposure to different roles in the global corporation.,Be able to move every year arround the world.,25-Sep-18, Anonymous Employee ,,
27,Stay Clear,1,"Former Employee, less than 1 year",Very little...some nice people but thats about it,No work life balance...managers rule by fear....unreasonable expectations,05-Jan-19, Anonymous Employee in Dublin, Dublin,
28,A rolling start.....,5,"Current Employee, less than 1 year","Exciting product offering, very direct, positive, open culture, right to CX level. Excellent support from HR and management teams. Huge potential for growth as a company and personally.","None! There are always issues with companies going through significant change, but at Aptiv, they’re very good at getting out in front of them and communicating clearly, there really are no issues that aren’t acknowledged and being addressed at pace.",16-Feb-18, IT Director in Dublin, Dublin,
29,Good Company to work for. Wonderful atmosphere and flexible work life balance. Flexible work life balance,5,"Current Employee, less than 1 year",Very good relocation package. Good Exposure . Senior Leadership is always available for any inputs/feedback. Perks Benefits Good Compensation Challenging roles but based upon individual interest Diverse Culture,No share purchase plan Dependency on suppliers,26-Jun-18, Senior Manager in Dublin, Dublin,
30,Coolest job ever!,1,"Former Employee, more than 1 year","Cool cars when they worked. The invaluable lessons learned from the disgusting emotional games that were honestly well played. The blatant, wide spread drug use was fun! If your goal is to see the worst humans have to offer in the workplace this is the spot for you! Moving up was relatively easy for the chosen few, a bathroom bump and hump is all it took. If you did find yourself in a sticky situation that would make the company/tech look bad, no worries because they will cover it all up and still keep you working until you’re no longer needed.","Upper management, middle management, all management especially the HR department. The complete disregard for the humanity of operators. The social/political tactics used by far are some of the most vile and amazingly well executed I’m a bit jealous. They are predatory sociopaths and very adept at exploiting personal issues and working as a well oiled pack to systematically break you down so you quit or stop caring entirely so they fire you. Every day was a slow drip of your existence being squeezed out of you drop by drop, all while your tormentors smiled and said good job everyone while simultaneously picking the next groups of stragglers to make an example of. But if you were one of the actual good ones taking true pride in what you did and exceeded the standards, oh they took delight in making sure they broke you down proper and with devastating precision.",12-May-21, Autonomous Vehicle Operator in Las Vegas, NV,
31,Get it together,1,"Current Employee, more than 5 years","not many i can attest to, maybe the people ?","Everything - This place does not have an idea what Agile really means, it implements everything on a separate agenda aka there is no coordination at the TROY location let alone the global platoform which is a mess of its own. They cut way too many employees masked as covid issues. This place will work you to the bone and ask for more as you bleed out. Those that are there are stuck there due to visas which i think they did on purpose for cheaper labor as well as employee retention. I have never walked through an office where people are so sad that they are stuck with thier current situation. Upper management keeps saying they are going to make it better - and then has a re-org. within the last 3 years there have been at least 3 re-orgs. if that doesnt sell you RED FLAG i dont know what will. stay away from TROY location.",15-May-21, Engineer in Troy, MI,
32,Toxic Work Environment,1,"Former Employee, more than 3 years","The pay was great for the midwest, but that's likely the only way they can get people to join","I've never worked in a more toxic environment in my career. People are throw under the bus regularly for things that were the fault of management. Job security is abysmal - I've never seen so many people let go from an organization, and no, this was pre-Covid, so it can't be blamed on that contraction. At the same time, the amount of corporate waste and wheel spinning was mind boggling. It doesn't seem like there's a clear strategy at the top - projects are started, killed, restarted, killed again. Honestly, I don't know how this company stays in business - oh yeah, I do! If you're a Tier 1 auto supplier your OEM customers can't afford to let you go out of business. GM was right to spin out this anchor before it dragged them to the bottom with it.",22-May-21, Anonymous Employee ,,
33,Good Employer!,5,"Current Employee, more than 5 years",You can learn a lot! Global international project Friendly & helpful coworkers Good benefits package (even employee pension plan which is rare in the local market),Frequent overtime work Sometimes lack of understanding of local needs by global management,27-May-21, Anonymous Employee in Kraków,,
34,Pros / Cons,4,"Current Employee, more than 10 years",#NAME?,"- Some old org. structures, not flexible enough for fast market changes - Managers not always comply with company's values",28-May-21, Supervisor in Kraków,,
35,Typical corporation,3,"Current Employee, more than 5 years",Nice people at the engineering level. Nice engineering buildings. Low cost of living area.,Typical corporate bureaucratic stuff. Years to get anything done. Years to get funding approved but then management asks why we didn't have the project completed 3 years before we even launch it.,01-Jun-21, Engineer in Warren, OH,
36,Great company to work for,5,"Current Employee, more than 5 years","Culture, great people, freedom to do your own things",Need to work on review processes,27-May-21, Anonymous Employee in Wuppertal,,
37,Great Company,4,"Current Employee, more than 1 year",Learning about the best of the technologies,Demanding employer as APTIV wants to be market leader on ADAS,27-May-21, Ingénieur in Troy, MI,
38,great benefits,5,Current Employee,"good benefits, and pay and employment",management isnt the best if i,27-May-21, Administration in Janesville, WI,
39,very good place to learning and grow,5,Former Employee,"High empowerment, trust and exposure","complex company, from the structure perpective",26-May-21, Financial Analyst ,,
40,"Great place to work, but be prepared for the normal Big Company problems",4,"Current Employee, more than 3 years",#NAME?,"-Is a big company in transformation, some processes are very slow and if you don't have a stomach for bureaucracy, will not fit for you",14-May-21, Agile Coach in Hildesheim,,
41,Excellent place to learn and contribute,5,"Current Employee, more than 1 year",Respect for ideas and opportunities to grow,Nothing is negative. You will be shifted to various platforms that might be a little stressful but an opportunity to work and grow,19-May-21, Test and Validation Engineer in Bangalore,,
42,Pretty good but depends on your manager,3,"Current Employee, more than 3 years",Fun people to work with but depends on the team,Too many constant changes to direction and organization structure.,30-May-21, Algorithm Engineer in Troy, MI,
43,Future of Mobility,5,Current Employee,As APTIV employee You have a real chance to shape the Future of Mobility. Great place to work and learn from the other talented and experienced engineers including cooperation with top OEMs.,Sometimes need to work hard.,06-May-21, Engineering Group Manager in Kraków,,
44,Aptiv is a good company,3,"Current Employee, more than 1 year","Good, big company with a lot of position",Small salary for some of the positions,29-May-21, Human Resources Officer in Novi Sad,,
45,Great for work life balance,4,"Current Employee, more than 3 years",Best for work life balance,Didnot find anything till now,13-May-21, Software Engineer in Bangalore,,
46,Be at the pulse of autonomous driving,5,"Current Employee, more than 3 years","Great colleagues, never boring, good pay,",Not for employees who don’t act as #oneTeam and have no #ownership,04-May-21, Human Resources Manager in München, Bavaria, Bavaria
47,Good employer if you like American style companies,4,"Current Employee, more than 3 years",Great oportunities to grow and nice and talented colleagues to learn from. Very interesting projects.,Good decisions from top management but these do not get easily translated into engineering level. Therefore slow and cahotic execution,30-Apr-21, Technical Manager ,,
48,Just OK,3,"Current Employee, more than 3 years",. Friendly atmosphere . Relatively good work- life balance,. Strange org structure . not much focus on trainings and certifications,25-May-21, Expert Systems Engineer in Kraków,,
49,Nice place to work,5,Current Employee,Nice place to work Fast growing,"keep changing the partner, vehicle plateform",06-May-21, SWE ,,
