,Title,Rating,Employee_Status,Pros,Cons,Date_Posted,Employee_Title,Location,
121,Great experience,4,Current Employee,Very good work environment and culture,Work load may vary based in project needs,06-Mar-21, Systems IS Engineer ,,
122,Good life work balance,4,Current Employee,"Good life work balance, nice work culture",Slow in adapting to new technologies,03-Mar-21, Systems Engineer ,,
123,The BEST Automotive Company,5,"Former Employee, more than 1 year",I've worked for many different automotive companies and Aptiv is surely the BEST. Great Pay Great Benefits Great colleagues Great management team Great Office Building Great Environment Great Technology Great Global portfolio,Not Applicable. There is none.,12-Feb-21, Vehicle Test Engineer in Troy, MI,
124,it was a good opportunity,3,"Current Employee, more than 3 years","Good organisation, good experience, six sigma","stress, full time job, working hard",12-Apr-21, Logistics Coordinator in Tangier,,
125,Would be perfect if better structured,3,"Current Employee, more than 5 years","New technologies, dynamic environment, lots of new projects",Too many stakeholders Communication gap between functions Outsourced IT environment Work life balance,30-Mar-21, IT Specialist in Kraków,,
126,A good company to work on,5,"Former Employee, more than 1 year",They treat they employees very nicely and there's a very nice communication between management and employees.,Sometimes workloads are impossible to handle.,18-Feb-21, ITV Technician in Ciudad Juarez,,
127,Ok to start your career,3,"Current Employee, more than 3 years",work life balance; cutting edge development of automate driving,"Indiana location: low pay, low pay raise, out of date tool chain",04-Apr-21, Algorithm Engineer in Indianapolis, IN,
128,Fire-Fighters,3,"Former Employee, more than 1 year",Some great colleagues and supportive boss. Boss is a visionary. Great learning opportunities - jobscope covers wide area,"Some dept are hard to work with - requires high EQ to deal with certain people Company is restructuring and going in a very lean direction and hence, increase in workload and mental stress.",24-Feb-21, Quality Engineer ,,
129,Great culture,5,"Current Employee, more than 10 years",A work environment in which you have the opportunity to learn and develop professionally.,I don't any cons about.,22-Feb-21, Human Resources in Ineu, Arad, Arad
130,Great place to Work and learn!!,5,Current Employee,If you are a fresher then APTIV is great place to start with . As the working culture here in Aptiv is very adaptive . Aptiv has a ability to build professional relationships with colleagues.,"As there are pros as well as cons for everything,i will not say much but as Aptiv has customers from all around the world, you may have to adjust with the working hours sometime.",05-Jan-21, Senior Software Engineer in Bangalore,,
131,Aptiv review,5,"Current Employee, more than 1 year",Great opportunity to grow and develop skills in an international environment,Very fast changing industry that requires fast adapting,17-Feb-21, Recruitment Specialist in Leskovac, Central Serbia, Central Serbia
132,fair empolyer,4,"Current Employee, more than 1 year",flexible hours home office many possibilities,the management is a bit messy especially in the advanced engineering.,24-Feb-21, System Engineer in Wuppertal,,
133,Good Place to Work At,5,"Current Employee, less than 1 year","Good Management, great work-life balance","Less flexibility in terms of working from a remote location,",22-Feb-21, Data Analyst in Singapore,,
134,Feedback about Aptiv,4,"Former Employee, more than 3 years",Work life balance and good platform to learn the technology,CTC is not upto the mark,09-Feb-21, Advanced Software Developer in Bangalore,,
135,Decent place,5,Current Employee,Great work culture. Understanding with time off,Hard to climb up the corporate ladder,24-Feb-21, Electrical Engineer ,,
136,Great company,4,"Former Employee, more than 1 year","nice environment, inclusive, good opportunities",a large company so slow to decision making,25-Feb-21, Senior Engineering in Auckland, Auckland,
137,Good,4,"Current Employee, more than 1 year",good place to work in,very big company small impact,27-Feb-21, Software Test Engineer in Kraków,,
138,"Great place to work, but long term job stability questionable",4,"Former Employee, more than 10 years","High tech challenges, good benefits, great colleagues.","Aptiv has a ""flexible business model"". Part of this is they will quickly shut down an operation or location to move to a more cost effective location. Aptiv is run by finance people not engineering leaders.",22-Jan-21, IT Senior Manager in Kokomo, IN,
139,Be here now,5,"Current Employee, less than 1 year",Very good company to work in,"Nothing special, it’s a pleasure to work in",18-Feb-21, Human Resources Manager in Tangier,,
140,Be here now,5,"Current Employee, less than 1 year",Very good company to work in,"Nothing special, it’s a pleasure to work in",18-Feb-21, Human Resources Manager in Tangier,,
141,Aptiv - Open and Friendly,4,"Current Employee, less than 1 year","Aptiv for me means an open-minded, diverse company.",Approval processes are unflexible and slow.,17-Feb-21, Senior Talent Acquisition Specialist ,,
142,Nice place to work,4,Current Employee,There is free coffe available,None beside actual pandemic situation,21-Feb-21, Software Engineer ,,
143,Awesome work environment,4,Former Employee,"Loved it, was a relaxed environment",Not a whole lot of room for growth,17-Feb-21, Anonymous Employee ,,
144,Decent company to work for,4,"Current Employee, less than 1 year","Good colleges, decent salary and can be a good fit for a lot of peop",Sometimes the responsibilities are not clear,09-Feb-21, OTC Specialist ,,
145,Fast phased cutting edge technology,5,"Current Employee, more than 1 year","Fast phased , step learning , cutting edge technology","Work life balance , Not a process driven company",10-Feb-21, Systems Engineer in Troy, MI,
146,Good environment,4,Current Employee,Very Good starting salaries and big projects,No bonuses are available and the increase in salary is weak,12-Feb-21, Functional Safety Engineer in Kraków,,
147,Stable Company,3,Current Employee,Good salary for employees and good merit,Not lot of career movement opportunities,31-Mar-21, Sales ,,
148,Great Opportunities but can easily be pigeon-holed.,4,"Current Employee, less than 1 year",Great teams to work with; some career growth and exploration if you have the right manager looking out for you.,Sometimes a little too Lean in the employee workforce.,13-Jan-21, Field Applications Engineer in Troy, MI,
149,Good company,3,Former Employee,Good perk Good Team Good Culture,Management need to improve their management skills.,31-Mar-21, Advanced Engineer in Bangalore,,
150,Great,5,Former Employee,Great group of people all around,Early stages of figuring it all out,13-Feb-21, Operations in Las Vegas, NV,
151,Well paid and interesting but you will loose your mind,2,"Former Employee, more than 1 year",Good Salary and interesting technology,"Bad working atmosphere, tough management",20-Mar-21, Mechanical Engineer in Braga,,
152,lots of bureaucracy,2,Former Employee,"Well, there are none. Just make your money worth",there are lots of bureaucracy,28-Mar-21, Vehicle Tester/Engineer ,,
153,OK,2,"Current Employee, more than 5 years",ok working there nothing much to complain,ok working there nothing to grow,25-Mar-21, Warehouse Worker in Ang Mo Kio New Town,,
154,Middle of the Road,4,Current Employee,"Lots of growth opportunities, and some of the best coworkers I've found yet in my career. The things we've been able to accomplish across the globe with multi-national teams have been truly remarkable.","The culture at APTIV is more of a shapeless forming blob. As Delphi, APTIV had a distinct culture of ""Excellence"" stemming back to the Packard days, and a proud history there as well. Companies such as Control-Tec and Unwired also had their own distinct cultures that were more like google and made your team feel more akin to family. Plenty of work got done above and beyond due to this. Now those have been stripped away into the APTIV Culture, and it is palpable in comparison to those hay-days.",02-Sep-20, Senior Systems Engineer in Auburn Hills, MI,
155,Great Place to Work,5,Former Employee,"There is flexibility, profesionalism and compromise","I can't think of one, it aways depend on the business unit",01-Feb-21, Technical Manager ,,
156,Not to bad they try and do okay,3,"Former Employee, more than 1 year","They offer bonuses, competitive pay, nice coworkers, decent outside of work sponsored events like soccer, basketball, etc and they to foster a googlesque environment but in my opinion fall very short.","As I said before they try to imitate the googlesque environment of fun and stuff but in my opinion they hire dry people with little personality. The management does change a lot and that’s actually why I quite, my manager changed and he flipped everything upside down.",30-Jan-21, Senior Software Engineer in Dearborn, MI,
157,Work Life balance,5,"Current Employee, more than 3 years",Maintaining a good focus and good management,Less work life balance due to work pressure,04-Feb-21, Systems Engineer ,,
158,Great company,4,"Current Employee, more than 1 year",Lots of things to learn,Lots of work to do,10-Feb-21, Function Owner in Sterling Heights, MI,
159,Great Environment,4,"Former Employee, more than 1 year",The environment is very nice and supportive. The people are really friendly and ready to help.,"The working plan is not very clear, the hierarchy is not well structured and a lot of people are taking the decision.",16-Jan-21, Working Student in Wuppertal,,
160,Nice and lot of learning,4,"Former Employee, more than 1 year","Quality food,free transport,satisfy salary, supportive management.",Sometimes 12 hours shift and not given leave,31-Jan-21, Machine Operator in Vallam,,
161,overall good experience,4,"Former Employee, more than 3 years",company has interesting products and projects,the work atmosphere and the workstyle is more traditional,01-Feb-21, Development Engineer in Wuppertal,,
162,Good technology and top level active safety leadership,4,Current Employee,Some very good active safety leadership at the very top level Many strong engineers at the working levels,Need to root out the bad leaders who compromise the organization,28-Dec-20, Chief Engineer in Troy, MI,
163,Chill Company,3,Current Employee,Laid-back culture and boring life,Low Total Comp and career growth chance,19-Mar-21, Engineer in Detroit, MI,
164,Great company!,5,Former Employee,"Good pay, good bonus at the end of the year, good benefits and good management",Cannot think of any cons. I learnt a lot and had a good experience overall.,11-Jan-21, Anonymous Employee ,,
165,Good salary but...,3,"Former Employee, less than 1 year","Decent salary, legal based compensations","Disorganized in many aspects, not acompañar caring for it's employees",01-Mar-21, Expediter in Nuevo Laredo,,
166,Pathetic place,1,"Former Employee, less than 1 year",Free travel. Free food in the canteen.,"Pathetic place to work. Apart from traveling allowance, nothing is good about the organisation",02-Apr-21, Anonymous Employee ,,
167,Innovation,4,"Former Employee, more than 1 year","Great Work, Innovative Team, Smart People, Collaborative Environment, Leadership Transparency",Management can use more training.,25-Jan-21, Identity and Access Management Engineer in Boston, MA,
168,Great people!,5,Former Employee,Good colleagues and great working environment,sometimes - no scope for further development and lack of opportunities,21-Jan-21, Systems Engineer in Wuppertal,,
169,Good,3,"Current Employee, more than 10 years",Good culture in this company,Heavy pressure in this company,16-Mar-21, Anonymous Employee in Pune,,
170,Good,3,"Current Employee, more than 10 years",Good culture in this company,Heavy pressure in this company,16-Mar-21, Anonymous Employee in Pune,,
171,Very good company for beginners and professionals,5,Current Employee,- new techology in automotive -,#NAME?,21-Jan-21, Project Manager in Kraków,,
172,Still ok,2,"Current Employee, more than 5 years","Good benefits (Medical, dental, AL)","Not systemic, not everyone follow procedure",17-Mar-21, Engineering Assistant ,,
173,stock market motivated,2,"Current Employee, more than 10 years",the compensation is adequate at this company,company does not value employees. burn out and terminate,10-Mar-21, Sales in Troy, MI,
174,Good company for juniors,4,Former Employee,"Freedom, relatively well paid in Michigan.",Management needs improvement to make employees focus on the projects.,17-Jan-21, Software Engineer in Troy, MI,
175,Salary for Team Lead,4,"Current Employee, more than 8 years","Good pay, good infrastructure, good people","Work life balance, no growth after 12 or 13 years of ecperience",15-Jan-21, Team Leader in Bangalore,,
176,"Aptiv, the place where you can grow your career",5,Current Employee,"Open and transparent communication, great and supportive colleagues, truly international environment, plenty of career opportunities, interesting and diverse projects, many are working with top-notch technology i.e. autonomous driving, advanced driver-assistance systems, e-mobility solutions and power & signal distribution.",Nothing I could mention here since topics I would have raised in the past did improve a lot within the last months. I'm really happy here and am glad that I joined Aptiv 2 years ago.,11-Nov-20, Talent Acquisition Manager in Wuppertal,,
177,Average Place,3,"Current Employee, more than 1 year",Good pay and good office,Long hours work without work life balance,12-Mar-21, Engineering Manager in Detroit, MI,
178,Best in Automotive,5,"Former Employee, more than 1 year","Work life balance, Salary, Culture,Work,Diversity",Nothing all is good about being here,19-Jan-21, Advanced Software Engineer in Bangalore,,
179,Good to start with,4,"Current Employee, more than 3 years",You get hands on. Support Good environment,Work schedule depends on projects No much facilities like cafeteria,15-Jan-21, Senior Test Engineer in Bangalore,,
180,Doing development,3,"Current Employee, more than 5 years","Interesting technology, remote work, flexible","Everything is fine, no cons",12-Mar-21, Senior Systems Engineer in Kraków,,
181,Nice company,4,Current Employee,Company is nice to emplyee,sometimes direction is not clear,20-Jan-21, Algorithm Engineer ,,
182,Good benefits,4,"Current Employee, more than 3 years",Good benefits and company cares about employees.,Less work life balance due to overwork,15-Jan-21, Algorithm Engineer in Troy, MI,
183,Aptiv is a decent employer,4,Former Employee,"Good management, flexible scheduling, good pay","office was in basement, no workplace culture",08-Jan-21, Software Verification Engineer ,,
184,Pros and Cons,4,Current Employee,Good working environment in Aptiv,No personal trainings provided in Aptiv,11-Jan-21, Systems Engineer in Troy, MI,
185,Great company,5,"Current Employee, less than 1 year","Very free work environment. They really trust you, and let you take your own decisions. There is no clear hierarchy; everybody is helpful and on the same level.",Administrative HR related things are a bit unstructured,17-Dec-20, Software Engineer in Gothenburg,,
186,OK,4,Current Employee,"offices, benefits, location, career, people","management chain, young, possibilities, flexibility, interactions",11-Jan-21, Team Leader in Kraków,,
187,No Work Life Balance,3,"Former Employee, less than 1 year",Innovative Company with a future ahead,"From 2019-2021 there was no Work Life Balance, even with working from home in 2020.",08-Feb-21, Buyer in Troy, MI,
188,Good pay in midwest,4,"Former Employee, more than 1 year","The pay is decent in midwest area, and the work-life balance is ok.",Do provide lots of vacation days compare with working in an OEM like Ford.,14-Dec-20, Software Engineer in Detroit, MI,
189,Aptiv,3,"Former Employee, more than 5 years","Good place to work, Good people, Relationships","Always behind the curve, Senior management changes often",22-Feb-21, Manager ,,
190,Good company,5,Current Employee,"training possibilities, people, business trips, social actions for kids, etc., many internal development possibilities","no money bonuses, no co-financing for meals, poor kitchen equipment",16-Dec-20, Supply Chain/Logistics Analyst in Kraków,,
191,Aptiv - good for start,3,"Current Employee, more than 1 year","Good colleagues, postivie atmosphere, good starting place","Specific responsibilites, small oportunities to grow as an engineer",15-Feb-21, Software Test Engineer in Kraków,,
192,Lean champion,4,Current Employee,"Competitive salary with reliable, professional and hard working colleague.",Bad life and work balance.,17-Dec-20, Lean Champion ,,
193,Don’t come here,2,Current Employee,Poor management Lack of direction Lack of technical knowledge,Poor administration Lack of opportunities to grow Projects on fire,12-Feb-21, Anonymous Employee ,,
194,Good to work,3,"Current Employee, more than 3 years",some projects are really good,"lack of proper office infrastructure, 6 days working, some projects are not good",05-Feb-21, Design Engineer in Pune,,
195,Mixed,3,"Current Employee, more than 1 year","Big company, some good project to work on and good people to work with","Process and planning is a bit chaotic, often run into crisis mode and requires extra time to work.",25-Jan-21, Algorithm Engineer in Troy, MI,
196,Great opportunity,5,"Current Employee, more than 5 years",Flexible work schedule. Meaningful work.,High pressure environment when working with automotive OEMs as a supplier.,15-Dec-20, Project Manager in Troy, MI,
197,Good,5,Former Employee,Great job for seeker india,Not so great for non seeker,19-Dec-20, Engineering Manager in Bangalore,,
198,Executive Management Team needs insight into how the business works; need to stabilize the workforce.,2,Former Employee,Good family atmosphere in plants,Poor management from executive level.,18-Jan-21, Manager ,,
199,Excellent to work,5,Former Employee,everyone has good work knowledge and projects were good,it is difficult to get permanenet postion,10-Dec-20, Software Engineer in Bangalore,,
200,Experience,4,"Former Employee, more than 1 year",Company has lots of good projects,work life imbalance and no time for family,14-Dec-20, Systems Engineer in Troy, MI,
201,Excellent Place to Work and Learn,5,"Current Employee, more than 5 years",Nice working environment Supporting Management Flexible Work Culture Opportunity to learn and grow,Long Term Onsite Opportunities are minimal Need more Vehicle Testing methods,18-Nov-20, Technical Leader in Bangalore,,
202,"""From an Intern to Full Time Employee_APTIV is a place to Learn""",4,"Current Employee, less than 1 year",1)Safety 2)Supportive people around 3)Place to learn/explore for sure -even more trainings provided for intern and even for full time employees 4)Easily adaptable Environment 5)Good Salary Package,No such cons I have noted,10-Nov-20, Graduate Engineer in Bangalore,,
203,Good place,4,Current Employee,Organisation has good professional culture,Competitive nature of auto market and industry,14-Dec-20, Manager ,,
204,Good,5,"Former Employee, less than 1 year",A good company to start with,There are no cons for this,14-Dec-20, Graduate Engineer Trainee in Bangalore,,
205,GREAT PLACE TO WORK,5,Former Employee,"Great place to work, friendly environment. Better management support",Very slow logistics support- like computer and office phone,29-Nov-20, Senior Engineer in Troy, MI,
206,Aptiv Kraków,4,Current Employee,#NAME?,#NAME?,04-Dec-20, Software Engineer in Kraków,,
207,Good but not that bright,3,Current Employee,"Excellent Sensor Performance, satisfying customer.",Not much effort to improve local engineer's capabilities. thus future growth seems to be limited.,18-Jan-21, Software Engineer in Yongin, Kyonggi, Kyonggi
208,Good place to work,5,Current Employee,Good team and good management.,No parking space in the plant,09-Dec-20, Senior Software Developer ,,
209,Nice Stepping Stone,3,"Former Employee, more than 1 year",Profit Share 401k Salary Match was amazing,Outdated Systems Cared more about increasing stock price than making products,16-Dec-20, Systems Engineer in Warren, OH,
210,Very good working Envi.,5,Current Employee,Compensation Package Working env. Product offering,There is Nothing specific to complain about,01-Dec-20, Senior Product Manager in Stuttgart,,
211,Very Good company to work,5,Current Employee,"Strong Company, possibilities to develop and learn","Sometimes, slow decisions due to sizes",24-Nov-20, HR Manager in Pamplona,,
212,Management changes frequently,3,Current Employee,Team members are good and nice,Management changes frequently. Lack of stability.,29-Jan-21, Software Engineer in Detroit, MI,
213,The gap between employer branding and reality,2,"Current Employee, more than 8 years","Colleagues, salary, flextime, proximity to the university campus, parking lot situation, interesting technological challenges.","Human resources needs to cope with the projects won is usually estimated intentionally optimistically. Why do I belive its intentionally? Because it happens all the time and there is no example I am aware of where estimates reflect even close to 60% of what is actually needed. Often, good experts are promoted to engineering group managers (EGMs), although they are the wrong choice when it comes to team development and team empowerment. If a supervisor has good hard skills but still has room for improvement in terms of managing people, he or she should be encouraged to consult HR at an early stage if any conflicts in the team cannot be resolved. The inclusion of HR for problems in the team should not be interpreted as a weakness, flaw or a negative entry in a fictitious file about the team leader, but rather as a virtue and scknowledged by HR as athe right thing to do.. This is very important for a successful and large company like Aptiv, as the organizational structures change regurarly, even if this is not surprising considering the strong position in the market. In general, Aptiv is very successful and there is a lot of projects, which also has very positive side effects that the future is bright in terms of employees having lots of projects and work to be done. However, due to the high workload with hard deadlines, there is far too little time for the EGMs to manage their teams, to identify problems in the team at an early stage and to tackle those. As a result, there are often employees in the same team where some are overloaded and others are bored.",05-Nov-20, Senior Technical Project Manager in Wuppertal,,
214,work life,4,"Current Employee, more than 3 years",Best place to start carrier,Difficult to manage time between personal and professional life due to hectic work,23-Nov-20, Senior Software Engineer in Bangalore,,
215,Company,5,Current Employee,Great company and technology to work with,Nothing much in particular I have,02-Dec-20, Technical Manager in Bangalore,,
216,Working For Free,1,"Current Employee, more than 8 years",Outstanding Technology and product portfolio. Really ahead of competition in quality and offer to the mobility HEV market.,"Money at all costs. This is a company, executives and management are willing to do whatever it takes to their people to get profit. There is a Disgusting disguise of a Think like Owner to make you feel guilty for not working 20h non stop. And please feel bad for not replying that email 9pm on Saturday. They make you feel you will be fired at any moment if you don’t accept this. Half the team is on Furlough and they don’t bother in calling you and having you work. Working for free is committed for them. It is just sad such a great company treats their people like trash. And as I see the more you advance in this company the more you are treated like garbage. No value for capabilities. No space for mistakes and there is always someone to be blamed and of course fired. Hire and fire.",16-Jun-20, Manager in Troy, MI,
217,A good first job,4,"Former Employee, more than 1 year","Friendly working environment, fairly loose deadlines, good relatonship with managers, nice office location","Similar projects, repetetive workload, relatively outdated computers",22-Nov-20, Software/Systems Test Engineer in Kraków,,
218,Fair,4,Current Employee,Not bad but less vacations than a OEM.,"Narrow minded, lower salaries than OEMs.",25-Nov-20, Systems Engineer in Troy, MI,
219,unclear strategy,2,"Former Employee, more than 1 year","good salary, flexible home working",very top down and highly centralised decision making,25-Jan-21, Anonymous Employee ,,
220,Good place,5,Current Employee,People are nice and smilong,Hard to implement improvements there,01-Dec-20, Data Analyst in Kraków,,
221,Great place for fresher in automobile industry,4,"Current Employee, more than 1 year",Flexible working hours for graduate students,Get ready for a lot of presentations,23-Nov-20, Graduate Student Researcher in Wuppertal,,
222,Excellent Experience,4,"Current Employee, more than 1 year","Good people, wide product portfolio",narrow focus scope. Too much reply on a few big customers.,25-Nov-20, Systems Engineer in Gothenburg,,
223,Great company with bad leadership,4,Former Employee,great projects and great people to work with,bad leadership and lack of vision,17-Nov-20, Systems Engineer in Auburn Hills, MI,
224,confusing place to work,3,"Former Employee, more than 1 year",great benefits and great pay,management is confused and lacks direction,25-Jan-21, Continuous Improvement Manager in Troy, MI,
225,dont go there,1,"Current Employee, more than 8 years","nice shiny office, that's it","phew where to start? forced redundancies within a year of starting, reduced pensions, incompetent senior managers",10-Feb-21, Senior Accountant in London, England, England
226,Great place to work at.,4,"Current Employee, more than 3 years",1. Aptiv is a good company to work at with good balance of work and personal life 2. I like the fact that its stress free and encourages to learn while working 3. Made some good friends over time,Growth on the leadership level is slow,12-Oct-20, Advanced Software Engineer in Kokomo, IN,
227,-,3,Former Employee,Good pay and benefits package,Fairly Incompetent management and co-workers,24-Jan-21, Senior Financial Analyst ,,
228,Dynamic Work Place,3,"Former Employee, more than 3 years","Employee Benefits, Holidays and PTOs",Work life Balance is difficult at times,20-Jan-21, Senior Embedded Software Engineer in Detroit, MI,
229,APTIV IGS,1,"Current Employee, more than 3 years",Easy hire to the company,"No management support at IGS`s UA. Werry bad work process organization for employers. 0 support from managment side in Projects running. 0 motivation and no salary increasing. Huge financial problems during New Projects Launching is laying on the Engineering, and after start up no any encouragement. Working more than 2 years on Dummy Company which was hired to save costs - not even APTIV. Loaded by Responcibilities like for 5 people but sallary like 0.5. during COVID-19 company forced to leave at own expense - and you must go - because afraid to lose Job during COVID-19.",16-Oct-20, Manufacturing Engineer in Ivano,,
230,Old-fashioned Slaughterhouse,2,"Former Employee, less than 1 year","Interesting products in the IVI, ADAS, Security area with leading edge technology (at least some)","Equipment and IT support is ridiculous. No career opportunities or guide from direct manager or management side (most of them, not all).",09-Dec-20, Account Manager in München, Bavaria, Bavaria
231,"Start you career but don't get stuck, it's not like that everywhere",2,"Current Employee, more than 3 years",Currently going through Lean transformation,Poor recruitment effort resulting in a unbalanced work load. Whoever has better knowledge and skills is overloaded with work. Excel driven Company trying to deal with large datasets. Unqualified management trying to control frequently using manipulation.,10-Dec-20, Business Analyst in Kraków,,
232,International place for working,3,"Former Employee, more than 1 year","the international atmosphere, Supportive leadership, friendly environments, flat hierarchy, a competitive salary, flow of information",Fat and Bureaucratic management systems,09-Jan-21, Master Thesis Student in Wuppertal,,
233,Would Not Recommend,2,"Former Employee, more than 1 year",No pros about this company,"Toxic work environment, silo'd, yelling and screaming at people.",07-Jan-21, Talent Manager in Detroit, MI,
234,Just ok,2,Current Employee,"very innovative , interesting projects",poor work / life balance,18-Jan-21, Product Owner ,,
235,Excellent Working Environment,5,"Current Employee, more than 3 years",Flexible Schedule and great leadership.,None at the moment that is relevant mentioning.,09-Nov-20, Project Engineer in Allen Park, MI,
236,good company,4,"Current Employee, more than 1 year",work with different people from all over the world,the higher management is changing all the time.,28-Oct-20, ADAS Algorithm Developer in Troy, MI,
237,Good for willing to ot,3,"Current Employee, more than 1 year",For those who seek for overtime hours this is the place for you,overtime hours is a must for everyone till you have no time for family,22-Dec-20, Engineering Assistant ,,
238,good company,5,Current Employee,promote internal evolution in the company,humain relations in productions site social events,16-Oct-20, Talent Acquisition Manager in Rabat,,
239,GOOD PLACE TO LEARN,4,Current Employee,Variety of opportunities to explore and learn.,Sometimes maintaining work life balance is difficult,27-Oct-20, ADAS Algorithm Developer in Detroit, MI,
240,GOOD PLACE TO LEARN,4,Current Employee,Variety of opportunities to explore and learn.,Sometimes maintaining work life balance is difficult,27-Oct-20, ADAS Algorithm Developer in Detroit, MI,
241,Away from this place,1,"Former Employee, less than 1 year",Don't even try to think of this place,Everything cons. Away from this place,28-Jan-21, Manager in Troy, MI,
242,Good learning experience,4,"Current Employee, more than 3 years",Good place to learn Works on advanced technology in active safety Good benefits and pay,Long hours / poor work life balance,18-Oct-20, Software Engineer in Troy, MI,
243,Vehicle systems engineer,5,"Former Employee, more than 1 year",Good company to work and explore Next gen technology,"No comments, only thing is no work load balance",19-Oct-20, Vehicle Systems Engineer in Troy, MI,
244,"Great people, questionable leadership",2,"Former Employee, more than 1 year","This review is subjected to the Allen Park office ONLY. Aptiv acquired Control-Tec, who was great and where most of the pros stem from. Note that other offices have completely different cultures/benefits. - Great people to work with, culture is about making sure everyone is on the same page and just wants to build something great. Teamwork is a non-issue. PMs and devs are your partners through and through. - Cross-functional folks and users are amazing and kind people. Very passionate about their work and willing to help you as much as they can, whether it's teaching, including, and giving constructive feedback. - WLB is great, though once in a while a push is needed to deliver, and with take-as-you-need/unlimited vacation, you can't get better than that (Allen Park office only). - Culture events like board/video game nights, whiskey/beer guilds, bbq days, and food truck summers were plentiful at the Allen Park office.","- Management are often at a disconnect with upper management/leadership strategies, which gets worse at IC level. After Aptiv acquisition, product teams including SME experts were unsure/unconfident about the product they were asked to build. Validation and justifying product decisions/directions was a constant sore point between product and upper management. - Be prepared to be the only UX resource across multiple products/PM's. Once the ratio was 1 UX : 7 PMs : 30+ developers. Be prepared to brutally prioritize and deliver what you can. You are also a PM, but the pay won't reflect this. - During COVID-19, Allen Park Aptiv quietly laid people off after leadership made assurances of that not being the case. 2 months later, and right after 6 weeks of furloughs, layoffs ensued. Roles including mine and high-performing software engineers were affected.",24-Sep-20, User Experience Designer in Allen Park, MI,
245,Project leader for Daimler,4,"Current Employee, more than 3 years","Dynamic, good team, interesting project",A lot of overtime works.,24-Oct-20, Plant Support Engineer in Novi Sad,,
246,Okay,4,"Current Employee, more than 5 years",No work pressure. Sit back and relax like government office.,"Worst Management, micro management of employees. No diversity.",17-Oct-20, Engineer in Chennai,,
247,good money but terrible culture,2,"Former Employee, more than 8 years",pay plus benefits - big cars,the culture does not respect the basic values,18-Dec-20, Sales Manager in Berlin,,
248,Great place to work,4,"Current Employee, more than 3 years",*Company with great vision *Great learning & Challenging work *Supportive manager & Team *Better work life balance * Decent pay acc to current market rate,"* Facility should be improved - canteen, parking, Wellness room etc.",24-Sep-20, Senior Software Engineer ,,
249,Great for a start,4,"Former Employee, less than 1 year","Great atmosphere, modern hardware, ability to extend your knowledge, remote work during the pandemic","Low pay for students, often repetitive tasks",07-Oct-20, Student QA Tester ,,
250,Best Company to be,5,Current Employee,This company provide the best remuneration.,Not really good is limited parking area.,15-Oct-20, Human Resources Supervisor in Kuala Terengganu,,
251,The Quarterly Layoffs Continue,3,"Current Employee, more than 10 years",Work on automotive products that are high tech and will save lives.,"So, we're moving to Carmel to be more attractive to young employees, but we have layoffs every quarter?",02-Nov-20, Senior Project Engineer in Kokomo, IN,
252,Great place,4,Former Employee,great pay friendly work environment,confusing work environment management seems lost,19-Oct-20, Lab Technician ,,
253,A radar company failing to be a tech company,1,"Current Employee, more than 3 years","Flexible work hours, little expectations",Management doesn't know how to make or sell software,13-Jan-21, Software Engineer in Indianapolis, IN,
254,Executive,1,Former Employee,"Company Portfolio , the people working in mid level jobs keeping it going daily! The quality of products","Top Managment , & Culture, lack of true diversity and treatment of people that work there, work life balance, focus on cost vs growth, top management is a boy’s club, believes US workers are too expensive and older workers need to go; does not value loyalty",24-Mar-20, Executive Director in America, IL,
255,Good company,4,Current Employee,Many opportunities to be successful at Aptiv if you’re hardworking and like to be involved with continuous improvement. Total rewards package is very good.,Very siloed company with much duplication. Value “OneTeam” is aspirational versus reality.,19-Jul-20, Director ,,
256,Very good working condition,5,"Current Employee, more than 3 years",Good working condition in plant,System not use many time in plant,09-Oct-20, Industrial Engineering ,,
257,Overall good.,4,"Former Employee, more than 3 years",opportunity to work with interesting automotive projects.,As usual in corp. Sometimes much work due to cumulative tasks.,05-Oct-20, Software/Systems Test Engineer in Kraków,,
258,Enjoy the challenges and coworkers,4,Current Employee,"Challenging job Great, knowledgeable coworkers Opportunities for growth",The company is too big Bureaucracy,06-Oct-20, Program Manager in Allen Park, MI,
259,Nice place for start,4,"Current Employee, more than 5 years","Interesting projects, People, Nice office","Salary, Corporate style, Mngment, Methodologies",06-Oct-20, Technical Manager in Kraków,,
260,Nice place for start,4,"Current Employee, more than 5 years","Interesting projects, People, Nice office","Salary, Corporate style, Mngment, Methodologies",06-Oct-20, Technical Manager in Kraków,,
261,Work review,5,Current Employee,Good place for Automotive embedded systems Engineers,None nothing really bothered me,04-Oct-20, Software Engineer ,,
262,Benefits,4,"Current Employee, more than 3 years","Good benefits, time off etc.",Constant changes in employee turn around,05-Oct-20, Project Manager in Kraków,,
263,review,3,"Current Employee, more than 1 year","good organization, good measures regarding covid, team work","no trainings, low salaries, no team buildings",30-Nov-20, Engineer ,,
264,Good experience,4,Current Employee,"Good conditions , atmosphere and management","Hard to get promoted, no benefits",30-Sep-20, Anonymous Employee in Bangalore,,
265,Great team,5,"Former Employee, more than 3 years","Good work enviroment, good salary",No negative feedback for this company,21-Sep-20, IT Supervisor, Technical Support in Warren, OH
